Data,Média Precipitação Total (mm),Média Pressão Atmosférica (mB),Média Temperatura do Ar (°C),Média Umidade Relativa do Ar (%),Média Vento Velocidade (m/s)
2013-01-01 00:00:00,0,922.3,25.8,61,1.1
2013-01-01 00:00:00,0,922.6,30.6,42,3.6
2013-01-01 00:00:00,0,922.9,30.8,44,3.1
2013-01-01 00:00:00,0,923,26.2,57,4.1
2013-01-01 00:00:00,0,923.1,22.6,70,0.6
2013-01-01 00:00:00,0,923.3,22.4,74,0.4
2013-01-01 00:00:00,0,923.5,29.5,46,4.8
2013-01-01 00:00:00,0,923.6,22.7,70,2.5
2013-01-01 00:00:00,0,923.7,22,75,0.1
2013-01-01 00:00:00,0,923.7,22.5,73,1.1
2013-01-01 00:00:00,0,924,22.9,73,0.5
2013-01-01 00:00:00,0,924,29.4,45,4.7
2013-01-01 00:00:00,0,924.1,28.1,54,4.1
2013-01-01 00:00:00,0,924.2,27.1,59,5.1
2013-01-01 00:00:00,0,924.3,25.6,60,2.8
2013-01-01 00:00:00,0,924.4,22.1,74,2.4
2013-01-01 00:00:00,0,924.5,24.4,67,2.3
2013-01-01 00:00:00,0,924.6,23.4,66,2.2
2013-01-01 00:00:00,0,924.6,26.4,61,4.6
2013-01-01 00:00:00,0,924.7,24.3,67,0.2
2013-01-01 00:00:00,0,924.7,26.1,61,2.4
2013-01-01 00:00:00,0,925.7,24.4,70,0.4
2013-01-01 00:00:00,0,925.7,24.8,71,2.4
2013-01-01 00:00:00,0,925.9,24.2,70,0.3
2013-01-02 00:00:00,0,924.4,21.8,85,2.7
2013-01-02 00:00:00,0,924.5,21.7,86,1.4
2013-01-02 00:00:00,0,924.6,22.1,84,2.3
2013-01-02 00:00:00,0,924.8,21.4,87,2
2013-01-02 00:00:00,0,925.2,21.4,86,1.4
2013-01-02 00:00:00,0,925.4,22.4,84,2.5
2013-01-02 00:00:00,0,925.7,22.8,78,2.1
2013-01-02 00:00:00,0,925.9,21.7,85,1.9
2013-01-02 00:00:00,0,926,23.9,74,2.6
2013-01-02 00:00:00,0,926.1,23.3,77,1.7
2013-01-02 00:00:00,0,926.3,22.5,81,1.5
2013-01-02 00:00:00,0,926.4,24.8,71,3.6
2013-01-02 00:00:00,0,926.6,26.3,60,1.9
2013-01-02 00:00:00,0,926.7,22,76,5
2013-01-02 00:00:00,0,926.7,23.3,80,2.1
2013-01-02 00:00:00,0,926.8,23.6,73,1.9
2013-01-02 00:00:00,0,926.9,20.1,79,4
2013-01-02 00:00:00,0,927,24.1,73,1.7
2013-01-02 00:00:00,0,927.1,24.5,70,1.7
2013-01-02 00:00:00,0,927.2,19.2,89,3.1
2013-01-02 00:00:00,0,927.3,20.8,76,3.8
2013-01-02 00:00:00,0,927.6,18.9,86,3.6
2013-01-02 00:00:00,0,928,18.7,84,3.6
2013-01-02 00:00:00,0,928.9,18.2,88,2.7
2013-01-03 00:00:00,0,928,18.2,89,2.5
2013-01-03 00:00:00,0,928,18.3,86,2.5
2013-01-03 00:00:00,0,928.1,18.3,87,2.5
2013-01-03 00:00:00,0,928.4,18.1,87,3.4
2013-01-03 00:00:00,0,928.7,18.3,88,2.8
2013-01-03 00:00:00,0,928.9,18.2,86,2
2013-01-03 00:00:00,0,929.2,18.4,86,2.8
2013-01-03 00:00:00,0,929.3,18.5,88,2.9
2013-01-03 00:00:00,0,929.4,19.4,85,3
2013-01-03 00:00:00,0,929.5,19.7,84,3
2013-01-03 00:00:00,0,929.7,18.5,85,3
2013-01-03 00:00:00,0,929.7,18.6,85,2.3
2013-01-03 00:00:00,0,929.7,19,89,2.5
2013-01-03 00:00:00,0,929.7,19.5,86,3.7
2013-01-03 00:00:00,0,929.9,20.8,80,2.7
2013-01-03 00:00:00,0,930.1,18.7,87,2.7
